centroid_x,centroid_y,contour_area,countour_perimeter,ellipse_center_x,ellipse_center_y,eccentricity
49,46,8310.0,390.2842707633972,49.5419807434082,45.715087890625,0.3889701305107775
50,48,7952.0,763.8477599620819,50.67221450805664,47.48435592651367,0.56865998829578435
45,48,8281.5,521.1543279886246,45.924564361572266,47.128170013427734,0.4362386508091407
49,46,6913.0,942.7838325500488,45.93806838989258,47.21961212158203,0.52020991291227492
49,41,4905.5,1535.7859205007553,46.94116973876953,48.29485321044922,0.51560694032546628
49,47,8175.5,554.5512965917587,49.77294158935547,47.97431182861328,0.44201410396863283
51,45,6710.0,951.1269783973694,49.0968132019043,46.62155532836914,0.54223500396467417
48,46,7978.5,749.7472547292709,48.58210372924805,45.50093460083008,0.54856293819565516
47,47,8649.0,372.0,47.5,47.5,0.0
49,47,7781.5,773.1198381185532,48.83201599121094,45.05149841308594,0.57209725381748011
52,47,7552.0,931.1858534812927,50.373023986816406,48.00350570678711,0.47622164690875718
48,45,7517.0,611.7644996643066,46.99488067626953,44.526981353759766,0.38291621580081919
44,48,6731.0,1014.7249574661255,44.82802963256836,48.8974494934082,0.60996958254158673
49,46,7896.0,792.7594473361969,49.6587028503418,49.014137268066406,0.41286411998051131
47,47,8552.5,394.87005722522736,47.484031677246094,47.171260833740234,0.13265082763571281
49,45,8083.0,634.1076455116272,49.83167266845703,47.340919494628906,0.4906367004302491
51,46,7753.5,733.6051193475723,49.49705505371094,46.65425109863281,0.37353568753239297
47,47,8545.0,428.2842707633972,46.64946365356445,48.39116287231445,0.24610653395778598
47,46,8168.5,658.5512965917587,46.07310485839844,46.232452392578125,0.52589834596831919
49,48,8301.5,543.4385987520218,49.26789093017578,47.932212829589844,0.40487555487768345
49,49,7027.0,645.64674949646,49.036128997802734,50.04323196411133,0.52511579327488977
47,48,6981.5,1339.3351291418076,48.94794464111328,46.90774154663086,0.67918611680531571
43,46,7473.5,856.3990565538406,44.00728988647461,44.67945861816406,0.28820818703126766
